favorites,retweets,tweet_id
29483,11354,788765914992902144
0,7936,788552643979468800
16763,5846,788412144018661376
7778,2335,788178268662984705
6619,1435,788150585577050112
0,3772,788070120937619456
6596,1457,788039637453406209
9319,3360,787810552592695296
10979,3065,787717603741622272
11650,3123,787397959788929025
8369,1919,787322443945877504
0,7392,787111942498508800
28557,8798,786963064373534720
0,2658,786729988674449408
19522,6703,786709082849828864
11448,2827,786664955043049472
10102,3407,786595970293370880
11710,3858,786363235746385920
8564,3147,786286427768250368
16429,5257,786233965241827333
1545,169,786051337297522688
0,7778,786036967502913536
12190,3476,785927819176054784
7169,2010,785872687017132033
8382,2441,785639753186217984
9776,2208,785533386513321988
6540,1382,785515384317313025
7793,1799,785264754247995392
12989,5348,785170936622350336
10877,3551,784826020293709826
9624,2785,784517518371221505
6108,1409,784431430411685888
21587,8862,784183165795655680
32070,12260,784057939640352768
32234,11884,783839966405230592
7891,2154,783821107061198850
11204,3543,783695101801398276
9056,2477,783466772167098368
18081,6057,783391753726550016
0,6153,783347506784731136
31355,12888,783334639985389568
8725,2442,783085703974514689
25847,8080,782969140009107456
